Age,dAge,S2,S5ESP,dS5ESP,S6r1,S6r2,S6r3,S6r4,S6r5,S6r6,S6r7,dRecodeCredit,dBrand,dCreditProvider,S10,S10r7oe,NPS,Reason,CSAT,CES,Brand-Opinion,Q6ar1,Q6ar2,Q6ar3,Q6ar4,Q6br1,Q6br2,Q6br3,Q6br4,Q6br5,Q6br6,Q7r1,Q7r2,Q7r3,Q7b,Q8r1,Q8r2,Q8r3,Q8r4,Q8r5,cluster_final
18,2,2,1,6,1,1,0,0,0,0,0,5,53.0,2.0,1.0,,9.0,Buena atención al cliente,9.0,7.0,9.0,11.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,1.0,1.0,1.0,1.0,1.0,5
18,2,1,5,7,1,0,0,0,0,0,0,4,76.0,1.0,4.0,,10.0,Fácil retiro e ingreso del dinero,10.0,7.0,10.0,11.0,8.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,11.0,9.0,10.0,11.0,10.0,1.0,1.0,1.0,2.0,1.0,5
18,2,2,12,3,0,0,0,0,1,0,0,4,76.0,1.0,,,7.0,Me parece bastante completp,5.0,7.0,8.0,11.0,9.0,9.0,7.0,10.0,9.0,8.0,8.0,7.0,8.0,9.0,8.0,10.0,6.0,1.0,2.0,3.0,2.0,3.0,4
18,2,2,14,2,0,0,0,0,1,0,0,4,76.0,1.0,,,7.0,Rapidez,7.0,5.0,8.0,9.0,7.0,10.0,9.0,8.0,8.0,9.0,6.0,7.0,8.0,8.0,7.0,8.0,7.0,3.0,3.0,2.0,3.0,2.0,4
18,2,2,1,6,0,0,0,0,1,0,0,4,52.0,1.0,,,7.0,en muchas cosas,4.0,5.0,3.0,4.0,7.0,8.0,9.0,10.0,8.0,3.0,4.0,7.0,10.0,6.0,10.0,8.0,6.0,1.0,3.0,3.0,2.0,4.0,2
18,2,2,12,3,0,1,0,0,0,0,0,5,76.0,1.0,4.0,,10.0,El dinero en tarjeta,9.0,5.0,10.0,11.0,11.0,9.0,8.0,9.0,10.0,9.0,9.0,8.0,7.0,10.0,7.0,8.0,10.0,3.0,3.0,1.0,2.0,3.0,4
18,2,2,9,5,0,0,0,0,1,0,0,4,346.0,1.0,,,10.0,Es una empresa fiable,10.0,7.0,10.0,11.0,12.0,8.0,8.0,11.0,7.0,6.0,6.0,11.0,11.0,11.0,8.0,11.0,5.0,2.0,3.0,1.0,3.0,1.0,4
18,2,2,12,3,0,1,0,0,0,0,0,4,52.0,1.0,3.0,,7.0,creo q mas q nada en la atencion a cada cliente,6.0,6.0,8.0,8.0,6.0,6.0,6.0,8.0,8.0,8.0,7.0,8.0,7.0,8.0,9.0,9.0,7.0,3.0,3.0,1.0,3.0,2.0,4
18,2,1,1,6,0,0,1,1,0,0,0,5,78.0,5.0,2.0,,6.0,Es de fiar,8.0,2.0,7.0,10.0,7.0,3.0,9.0,9.0,2.0,8.0,8.0,4.0,4.0,7.0,9.0,6.0,7.0,2.0,1.0,3.0,2.0,4.0,2
18,2,2,1,6,0,0,0,1,1,0,0,5,397.0,1.0,,,6.0,Lento,7.0,4.0,7.0,9.0,9.0,9.0,9.0,8.0,9.0,8.0,7.0,6.0,8.0,3.0,6.0,5.0,7.0,3.0,3.0,3.0,2.0,2.0,2
18,2,1,1,6,0,0,0,1,0,0,0,4,995.0,5.0,1.0,,10.0,"Pues son bastante buenos, te dejan préstamos, no te quitan ni un euro,etc...",10.0,7.0,10.0,11.0,6.0,11.0,9.0,11.0,11.0,10.0,10.0,9.0,11.0,11.0,11.0,4.0,10.0,1.0,2.0,1.0,3.0,1.0,5
18,2,2,1,6,0,1,0,0,0,1,0,5,52.0,5.0,1.0,,10.0,No hay comisión por un manejo de cuenta   Hay cajeros por todas partes   Una app práctica y fácil,10.0,7.0,10.0,11.0,11.0,10.0,7.0,7.0,6.0,11.0,10.0,11.0,11.0,11.0,11.0,9.0,10.0,1.0,3.0,1.0,2.0,1.0,5
18,2,2,12,3,0,0,1,0,0,0,0,4,283.0,3.0,3.0,,9.0,buen servicio y buenos productos,9.0,7.0,10.0,10.0,4.0,8.0,10.0,11.0,10.0,9.0,8.0,8.0,8.0,5.0,8.0,10.0,10.0,2.0,3.0,2.0,2.0,3.0,4
18,2,1,11,1,1,1,0,1,0,0,0,5,52.0,5.0,2.0,,9.0,"Su aplicación móvil es muy fácil de usar, ofrecen grandes facilidades para la obtención de prestamos o créditos.",10.0,6.0,9.0,9.0,5.0,12.0,11.0,9.0,7.0,10.0,10.0,11.0,9.0,7.0,8.0,6.0,9.0,3.0,2.0,1.0,3.0,2.0,4
18,2,1,2,2,1,1,1,1,1,1,0,5,52.0,5.0,1.0,,6.0,Puta mierda,6.0,5.0,7.0,7.0,3.0,2.0,6.0,1.0,1.0,6.0,2.0,3.0,5.0,2.0,3.0,5.0,6.0,2.0,1.0,3.0,2.0,4.0,1
18,2,2,2,2,0,1,0,0,0,0,0,4,52.0,1.0,4.0,,8.0,La rapidez del trabajo y el servicio de algunos trabajadores,7.0,6.0,9.0,8.0,4.0,8.0,6.0,8.0,9.0,10.0,9.0,9.0,9.0,8.0,8.0,9.0,8.0,2.0,2.0,1.0,2.0,2.0,4
